id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Velvet Ache,Sable Tone,blues,melancholic,0.44,68,0.32,0.47,0.80
12,Crown of Thunder,Ironveil,metal,angry,0.96,178,0.22,0.55,0.04
13,Mango Sunset,Coral Tide,reggae,uplifting,0.62,82,0.88,0.71,0.58
14,Porcelain Waltz,Elara Strings,classical,peaceful,0.21,54,0.74,0.30,0.94
15,Concrete Gospel,MadLib Jones,hip-hop,nostalgic,0.73,95,0.61,0.85,0.15
16,Smoke and Honey,Dusty Ember,country,romantic,0.50,104,0.79,0.63,0.72
17,Neon Pulse,Greywave,electronic,energetic,0.88,138,0.58,0.91,0.08
18,Porch Light Rain,Cedar Song,folk,melancholic,0.33,74,0.45,0.42,0.88
